NUMERO_FACTURA;CEDULA;FECHA_EMISION;AUTORIZACION;MONTO;IVA;DESCUENTO;COD_LOCAL;FECHA_CARGA;FECHA_INICIO;FECHA_FIN
1.0;1234567890.0;20/01/2017;AUT0001;2.12;0.2544;0.106;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
2.0;2345678912.0;15/02/2017;AUT0002;5.25;0.63;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
3.0;1123456789.0;10/03/2017;AUT0003;3.11;0.3732;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
4.0;1345678920.0;08/04/2017;AUT0004;5.36;0.6432;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
5.0;123456789.0;09/05/2017;AUT0005;12.58;1.5096;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
6.0;123654789.0;11/06/2017;AUT0006;24.56;2.9472;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
7.0;231456792.0;16/07/2017;AUT0007;9.87;1.1844;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
8.0;1456239870.0;18/08/2017;AUT0008;1.23;0.1476;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
9.0;1234567890.0;21/09/2017;AUT0009;2.34;0.2808;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
10.0;2345678912.0;24/10/2017;AUT00010;3.45;0.414;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
11.0;1123456789.0;25/11/2017;AUT00011;4.56;0.5472;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
12.0;1345678920.0;23/12/2017;AUT00012;5.67;0.6804;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
13.0;123456789.0;14/05/2018;AUT00013;6.78;0.8136;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
14.0;123654789.0;15/01/2018;AUT00014;7.89;0.9468;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
15.0;231456792.0;16/02/2018;AUT00015;0.9;0.108;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
16.0;1456239870.0;17/03/2018;AUT00016;0.91;0.1092;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
17.0;1234567890.0;18/04/2018;AUT00017;0.92;0.1104;0.046;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
18.0;2345678912.0;19/05/2018;AUT00018;1.22;0.1464;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
19.0;1123456789.0;20/05/2018;AUT00019;1.33;0.1596;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
20.0;1345678920.0;21/04/2018;AUT00020;21.58;2.5896;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
21.0;123456789.0;01/01/2017;AUT00021;35.68;4.2816;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
22.0;123654789.0;02/02/2017;AUT00022;2.33;0.2796;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
23.0;231456792.0;03/03/2017;AUT00023;3.44;0.4128;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
24.0;1456239870.0;04/04/2017;AUT00024;2.44;0.2928;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
25.0;1234567890.0;05/05/2017;AUT00025;2.55;0.306;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
26.0;2345678912.0;06/06/2017;AUT00026;2.66;0.3192;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
27.0;1123456789.0;07/07/2017;AUT00027;9.88;1.1856;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
28.0;1345678920.0;08/08/2017;AUT00028;10.23;1.2276;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
29.0;123456789.0;09/09/2017;AUT00029;18.29;2.1948;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
30.0;123654789.0;10/10/2017;AUT00030;10.56;1.2672;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
31.0;231456792.0;11/11/2017;AUT00031;13.24;1.5888;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
32.0;1456239870.0;12/12/2017;AUT00032;19.88;2.3856;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
33.0;1234567890.0;13/01/2017;AUT00033;4.01;0.4812;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
34.0;2345678912.0;14/02/2017;AUT00034;1.02;0.1224;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
35.0;1123456789.0;15/03/2017;AUT00035;5.68;0.6816;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
36.0;1345678920.0;16/04/2017;AUT00036;4.89;0.5868;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
37.0;123456789.0;17/05/2017;AUT00037;7.56;0.9072;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
38.0;123654789.0;18/06/2017;AUT00038;21.95;2.634;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
39.0;231456792.0;19/07/2017;AUT00039;104.2;12.504;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
40.0;1456239870.0;20/08/2017;AUT00040;22.8;2.736;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
41.0;1234567890.0;21/09/2017;AUT00041;26.13;3.1356;1.3065;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
42.0;2345678912.0;22/10/2017;AUT00042;26.17;3.1404;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
43.0;1123456789.0;23/11/2017;AUT00043;49.99;5.9988;;L03;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
44.0;1345678920.0;24/12/2017;AUT00044;109.37;13.1244;;L04;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
45.0;123456789.0;01/01/2018;AUT00045;16.75;2.01;;L05;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
46.0;123654789.0;02/02/2018;AUT00046;81.77;9.8124;;L01;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
47.0;231456792.0;03/03/2018;AUT00047;97.73;11.7276;;L02;2019/07/04 13:46:29.891;2018/09/01 00:0;2018/09/26 00:0
